
BLK_SIZE: 512
### Runing...
index[17],    res:   1.00,  warpIdx: 1,  elapsed:    28189clks,    CPI: 6.89
index[18],    res:   1.00,  warpIdx: 2,  elapsed:    28189clks,    CPI: 6.89
elapsed_all:   0.021504ms

BLK_SIZE: 640
### Runing...
index[ 0],    res:   1.00,  warpIdx: 0,  elapsed:    30943clks,    CPI: 7.56
index[ 1],    res:   1.00,  warpIdx: 1,  elapsed:    30943clks,    CPI: 7.56
index[ 2],    res:   1.00,  warpIdx: 2,  elapsed:    30941clks,    CPI: 7.56
index[ 3],    res:   1.00,  warpIdx: 3,  elapsed:    30943clks,    CPI: 7.56
index[ 4],    res:   1.00,  warpIdx: 0,  elapsed:    30971clks,    CPI: 7.56
index[ 5],    res:   1.00,  warpIdx: 1,  elapsed:    30971clks,    CPI: 7.56
index[ 6],    res:   1.00,  warpIdx: 2,  elapsed:    30969clks,    CPI: 7.56
index[ 7],    res:   1.00,  warpIdx: 3,  elapsed:    30971clks,    CPI: 7.56
index[ 8],    res:   1.00,  warpIdx: 0,  elapsed:    30940clks,    CPI: 7.56
index[ 9],    res:   1.00,  warpIdx: 1,  elapsed:    30940clks,    CPI: 7.56
index[10],    res:   1.00,  warpIdx: 2,  elapsed:    30938clks,    CPI: 7.56
index[11],    res:   1.00,  warpIdx: 3,  elapsed:    30940clks,    CPI: 7.56
index[12],    res:   1.00,  warpIdx: 0,  elapsed:    30963clks,    CPI: 7.56
index[13],    res:   1.00,  warpIdx: 1,  elapsed:    30963clks,    CPI: 7.56
index[14],    res:   1.00,  warpIdx: 2,  elapsed:    30961clks,    CPI: 7.56
index[15],    res:   1.00,  warpIdx: 3,  elapsed:    30963clks,    CPI: 7.56
index[16],    res:   1.00,  warpIdx: 0,  elapsed:    28202clks,    CPI: 6.89
index[17],    res:   1.00,  warpIdx: 1,  elapsed:    28202clks,    CPI: 6.89
index[18],    res:   1.00,  warpIdx: 2,  elapsed:    28202clks,    CPI: 6.89
index[19],    res:   1.00,  warpIdx: 3,  elapsed:    28202clks,    CPI: 6.89
elapsed_all:   0.021504ms

