avgCycles                   n_FFMA_seqs    avgCPI      
                574.0000    00000064          7.5526
               1086.0000    00000128          7.7571
               1598.0000    00000192          7.8333
               2110.0000    00000256          7.8731
               2635.5000    00000320          7.9383
               3147.5000    00000384          7.9482
               3659.5000    00000448          7.9554
               4171.5000    00000512          7.9609
               4683.5000    00000576          7.9651
               5195.5000    00000640          7.9686
               5707.5000    00000704          7.9714
               6219.5000    00000768          7.9737
               6731.5000    00000832          7.9757
               7243.5000    00000896          7.9774
               7755.5000    00000960          7.9789
               8267.5000    00001024          7.9802
               8779.5000    00001088          7.9814
               9291.5000    00001152          7.9824
               9803.5000    00001216          7.9833
              10315.5000    00001280          7.9841
              10827.5000    00001344          7.9849
              11339.5000    00001408          7.9856
              11851.5000    00001472          7.9862
              12363.5000    00001536          7.9868
              12875.5000    00001600          7.9873
              13387.5000    00001664          7.9878
              13899.5000    00001728          7.9882
              14411.5000    00001792          7.9886
              14923.5000    00001856          7.9890
              15435.5000    00001920          7.9894
              15947.5000    00001984          7.9897

              16459.5000    00002048          7.9900
              24651.5000    00003072          7.9934
              32892.9500    00004096          8.0070
              41710.4333    00005120          8.1275
              50511.1000    00006144          8.2052
              58823.1667    00007168          8.1926
              67758.5000    00008192          8.2592
              78137.1667    00009216          8.4674
              88563.4333    00010240          8.6386
              97630.7000    00011264          8.6583
             108194.2333    00012288          8.7963
             117725.3667    00013312          8.8356
             125814.8833    00014336          8.7688
             134818.5000    00015360          8.7704

             144063.3000    00016384          8.7865
             218347.1667    00024576          8.8802
             299083.3750    00032768          9.1240
             372438.0833    00040960          9.0901
             468651.0833    00049152          9.5324
             591256.8333    00057344         10.3085
             698364.8333    00065536         10.6543
             729510.6667    00073728          9.8930
             922175.5000    00081920         11.2554
            1123808.7667    00090112         12.4696
            1468638.5667    00098304         14.9379
            1545083.3667    00106496         14.5067
            1713154.5000    00114688         14.9360
            1832758.1667    00122880         14.9136
            
            1960116.1667    00131072         14.9531
            2206239.3000    00147456         14.9608
            2471058.8333    00163840         15.0810
            2701744.4167    00180224         14.9900
            2973488.3667    00196608         15.1230
            4542705.8333    00212992         21.3269
            4887608.1667    00229376         21.3072
            5271768.1667    00245760         21.4498
