avgCycles                   n_FFMA_seqs    avgCPI      
               2110.0000    00000256          8.2422
               4171.5000    00000512          8.1475
               6219.5000    00000768          8.0983
               8267.5000    00001024          8.0737
              10315.5000    00001280          8.0590
              12363.5000    00001536          8.0492
              14411.5000    00001792          8.0421
              16459.5000    00002048          8.0369
              18507.5000    00002304          8.0328
              20555.5000    00002560          8.0295
              22603.5000    00002816          8.0268
              24651.5000    00003072          8.0246
              26699.5000    00003328          8.0227
              28747.5000    00003584          8.0211
              30795.5000    00003840          8.0197
              32891.8500    00004096          8.0302
              35045.8333    00004352          8.0528
              79688.5000    00008448          9.4328
             110415.0333    00012544          8.8022
             146284.7000    00016640          8.7911
             190428.6333    00020736          9.1835
             224598.6333    00024832          9.0447
             255975.7667    00028928          8.8487
             297844.6333    00033024          9.0190
             328400.5000    00037120          8.8470
             365235.1000    00041216          8.8615
             403815.3000    00045312          8.9119
             443523.3000    00049408          8.9768
             480021.9000    00053504          8.9717
             569373.9083    00057600          9.8850
             566864.5000    00061696          9.1880
             622114.1000    00065792          9.4558
            1963011.5000    00131328         14.9474
            3158281.7667    00196864         16.0430
            5624704.3000    00262400         21.4356
            7063168.9000    00327936         21.5383
            8455967.7000    00393472         21.4906
            9794884.5000    00459008         21.3392
