avgCycles                   n_FFMA_seqs    avgCPI      
              32893.1667    00004096          8.0306
              35040.5667    00004352          8.0516
              84436.1667    00008448          9.9948
             112531.7000    00012544          8.9710
             147370.0333    00016640          8.8564
             187629.2333    00020736          9.0485
             225970.5083    00024832          9.1000
             257699.5000    00028928          8.9083
             305029.5000    00033024          9.2366
             330406.2333    00037120          8.9010
             368086.1000    00041216          8.9307
             402013.4333    00045312          8.8721
             445123.5000    00049408          9.0091
             483014.5000    00053504          9.0276
             565356.0167    00057600          9.8152
             572050.8333    00061696          9.2721
             649337.1667    00065792          9.8695
             989914.2333    00082176         12.0463
            1476776.5667    00098560         14.9835
            1695616.7000    00114944         14.7517
            1960689.1083    00131328         14.9297
            2214231.6833    00147712         14.9902
            2460155.7917    00164096         14.9922
            2766616.6333    00180480         15.3292
            2983980.9667    00196864         15.1576
            4545160.5000    00213248         21.3140
            4884299.5417    00229632         21.2701
            5236538.5000    00246016         21.2854
            5631756.5000    00262400         21.4625
            5933921.5000    00278784         21.2850
            6288191.8333    00295168         21.3038
            6640691.5000    00311552         21.3149
            7031318.5000    00327936         21.4411
            7334047.8333    00344320         21.3001
            7736247.5000    00360704         21.4476
            8057590.1667    00377088         21.3679
            8404183.8333    00393472         21.3590
            8791906.4333    00409856         21.4512
            9093540.5667    00426240         21.3343
            9579590.5667    00442624         21.6427
            9910784.2667    00459008         21.5917
           10113813.8333    00475392         21.2747
           10535154.1667    00491776         21.4227
           10888838.1667    00508160         21.4280
