avgCycles           n_FFMA_seqs    avgCPI          seqSize_IN_KB
       8511.0000    00000992          8.5796     31.00
       8596.0000    00001000          8.5960     31.25
       8628.0000    00001008          8.5595     31.50
       8927.0000    00001016          8.7864     31.75
       9251.0000    00001024          9.0342     32.00
       9659.0000    00001032          9.3595     32.25
      10204.0000    00001040          9.8115     32.50
      10595.0000    00001048         10.1097     32.75
      10998.0000    00001056         10.4148     33.00
      11542.0000    00001064         10.8477     33.25
      12165.0000    00001072         11.3479     33.50
      12368.0000    00001080         11.4519     33.75
      13104.0000    00001088         12.0441     34.00
      13308.0000    00001096         12.1423     34.25
      13731.0000    00001104         12.4375     34.50
      14202.0000    00001112         12.7716     34.75
      14652.0000    00001120         13.0821     35.00
      15016.0000    00001128         13.3121     35.25
      15555.0000    00001136         13.6928     35.50
      15999.0000    00001144         13.9851     35.75
      16374.0000    00001152         14.2135     36.00
      16867.0000    00001160         14.5405     36.25
      17226.0000    00001168         14.7483     36.50
      17700.0000    00001176         15.0510     36.75
      18112.0000    00001184         15.2973     37.00
      18694.0000    00001192         15.6829     37.25
      19071.0000    00001200         15.8925     37.50
      19440.0000    00001208         16.0927     37.75
      19919.0000    00001216         16.3808     38.00
      20190.0000    00001224         16.4951     38.25
      20534.0000    00001232         16.6672     38.50
      21055.0000    00001240         16.9798     38.75
      21583.0000    00001248         17.2941     39.00
      21942.0000    00001256         17.4697     39.25
      22425.0000    00001264         17.7413     39.50
      22719.0000    00001272         17.8608     39.75
      22754.0000    00001280         17.7766     40.00
      22985.0000    00001288         17.8455     40.25
      23079.0000    00001296         17.8079     40.50
      23199.0000    00001304         17.7906     40.75
      23389.0000    00001312         17.8270     41.00
      23481.0000    00001320         17.7886     41.25
      23587.0000    00001328         17.7613     41.50
      23759.0000    00001336         17.7837     41.75
      23933.0000    00001344         17.8073     42.00
      24079.0000    00001352         17.8099     42.25
      24147.0000    00001360         17.7551     42.50
      24410.0000    00001368         17.8436     42.75
      24507.0000    00001376         17.8103     43.00
      24646.0000    00001384         17.8078     43.25
      24854.0000    00001392         17.8549     43.50
      24961.0000    00001400         17.8293     43.75
      25100.0000    00001408         17.8267     44.00
      25250.0000    00001416         17.8319     44.25
      25390.0000    00001424         17.8301     44.50
      25483.0000    00001432         17.7954     44.75
      25698.0000    00001440         17.8458     45.00
      25790.0000    00001448         17.8108     45.25
      25927.0000    00001456         17.8070     45.50
      26145.0000    00001464         17.8586     45.75
      26185.0000    00001472         17.7887     46.00
      26324.0000    00001480         17.7865     46.25
      26570.0000    00001488         17.8562     46.50
      26710.0000    00001496         17.8543     46.75
      26787.0000    00001504         17.8105     47.00
      26995.0000    00001512         17.8538     47.25
      27104.0000    00001520         17.8316     47.50
      27249.0000    00001528         17.8331     47.75
      27434.0000    00001536         17.8607    0048
      36501.0000    00002048         17.8228    0064
      45608.0000    00002560         17.8156    0080
      54687.0000    00003072         17.8018    0096
      63838.0000    00003584         17.8119    0112
      72990.0000    00004096         17.8198    0128
      82097.0000    00004608         17.8162    0144
      91221.0000    00005120         17.8166    0160
     100372.0000    00005632         17.8217    0176
     109610.0000    00006144         17.8402    0192
     118569.0000    00006656         17.8139    0208
     127814.0000    00007168         17.8312    0224
     136940.0000    00007680         17.8307    0240
