avgCycles           n_FFMA_seqs    avgCPI          seqSize_IN_KB
      27548.0000    00001520         18.1237     47.50
      27706.0000    00001528         18.1322     47.75
      27772.0000    00001536         18.0807    0048
      37075.0000    00002048         18.1030    0064
      46414.0000    00002560         18.1305    0080
      55661.0000    00003072         18.1188    0096
      64879.0000    00003584         18.1024    0112
      74241.0000    00004096         18.1252    0128
      83466.0000    00004608         18.1133    0144
      92779.0000    00005120         18.1209    0160
     102048.0000    00005632         18.1193    0176
     111349.0000    00006144         18.1232    0192
     120442.5000    00006656         18.0953    0208
     129858.0000    00007168         18.1164    0224
     139177.0000    00007680         18.1220    0240
