avgCycles           n_FFMA_seqs    avgCPI          seqSize_IN_KB
      27108.0000    00001520         17.8342     47.50
      27206.0000    00001528         17.8050     47.75
      27381.0000    00001536         17.8262    0048
      36474.0000    00002048         17.8096    0064
      45648.0000    00002560         17.8313    0080
      54746.0000    00003072         17.8210    0096
      63823.0000    00003584         17.8078    0112
      73100.0000    00004096         17.8467    0128
      82091.0000    00004608         17.8149    0144
      91280.0000    00005120         17.8281    0160
     100421.0000    00005632         17.8304    0176
     109560.0000    00006144         17.8320    0192
     118598.0000    00006656         17.8182    0208
     127748.0000    00007168         17.8220    0224
     136897.0000    00007680         17.8251    0240
     145970.0000    00008192         17.8186    0256
